Epoch: [36/100], cls_loss: 1.5877, transfer_loss: 0.1607, kl_loss_src: 3542.6412, kl_loss_tar: 3445.6420, total_Loss: 1.6681, acc: 0.5944
Epoch: [37/100], cls_loss: 1.5221, transfer_loss: 0.1620, kl_loss_src: 3563.1683, kl_loss_tar: 3433.1060, total_Loss: 1.6031, acc: 0.6225
Epoch: [38/100], cls_loss: 1.5575, transfer_loss: 0.1584, kl_loss_src: 3572.8034, kl_loss_tar: 3407.0625, total_Loss: 1.6367, acc: 0.6426
Epoch: [39/100], cls_loss: 1.4362, transfer_loss: 0.1604, kl_loss_src: 3560.3997, kl_loss_tar: 3439.1093, total_Loss: 1.5164, acc: 0.6627
Epoch: [40/100], cls_loss: 1.4419, transfer_loss: 0.1605, kl_loss_src: 3547.0148, kl_loss_tar: 3373.6996, total_Loss: 1.5222, acc: 0.6807
Epoch: [41/100], cls_loss: 1.3481, transfer_loss: 0.1607, kl_loss_src: 3598.1011, kl_loss_tar: 3388.9534, total_Loss: 1.4284, acc: 0.7068
Epoch: [42/100], cls_loss: 1.3367, transfer_loss: 0.1596, kl_loss_src: 3557.4982, kl_loss_tar: 3393.5208, total_Loss: 1.4165, acc: 0.7249
Epoch: [43/100], cls_loss: 1.2941, transfer_loss: 0.1592, kl_loss_src: 3540.8947, kl_loss_tar: 3413.5408, total_Loss: 1.3737, acc: 0.7289
Epoch: [44/100], cls_loss: 1.2421, transfer_loss: 0.1609, kl_loss_src: 3499.7746, kl_loss_tar: 3370.9584, total_Loss: 1.3226, acc: 0.7369
Epoch: [45/100], cls_loss: 1.1962, transfer_loss: 0.1582, kl_loss_src: 3552.7175, kl_loss_tar: 3415.8997, total_Loss: 1.2753, acc: 0.7329
Epoch: [46/100], cls_loss: 1.1984, transfer_loss: 0.1585, kl_loss_src: 3551.8900, kl_loss_tar: 3373.4900, total_Loss: 1.2776, acc: 0.7108
Epoch: [47/100], cls_loss: 1.1380, transfer_loss: 0.1595, kl_loss_src: 3562.4734, kl_loss_tar: 3402.1248, total_Loss: 1.2177, acc: 0.7149
Epoch: [48/100], cls_loss: 1.1176, transfer_loss: 0.1572, kl_loss_src: 3558.5459, kl_loss_tar: 3396.1657, total_Loss: 1.1962, acc: 0.7490
Epoch: [49/100], cls_loss: 1.1057, transfer_loss: 0.1586, kl_loss_src: 3560.9632, kl_loss_tar: 3403.1460, total_Loss: 1.1850, acc: 0.7450
Epoch: [50/100], cls_loss: 1.0470, transfer_loss: 0.1588, kl_loss_src: 3574.2670, kl_loss_tar: 3412.3143, total_Loss: 1.1264, acc: 0.7410
Epoch: [51/100], cls_loss: 1.0159, transfer_loss: 0.1574, kl_loss_src: 3532.4608, kl_loss_tar: 3383.1284, total_Loss: 1.0946, acc: 0.7470
Epoch: [52/100], cls_loss: 0.9840, transfer_loss: 0.1574, kl_loss_src: 3553.1649, kl_loss_tar: 3413.4835, total_Loss: 1.0627, acc: 0.7590
Epoch: [53/100], cls_loss: 0.9820, transfer_loss: 0.1561, kl_loss_src: 3569.2467, kl_loss_tar: 3434.9969, total_Loss: 1.0600, acc: 0.7530
Epoch: [54/100], cls_loss: 0.9482, transfer_loss: 0.1563, kl_loss_src: 3570.3469, kl_loss_tar: 3393.6249, total_Loss: 1.0264, acc: 0.7570
Epoch: [55/100], cls_loss: 0.9169, transfer_loss: 0.1562, kl_loss_src: 3534.1011, kl_loss_tar: 3410.5910, total_Loss: 0.9950, acc: 0.7691
Epoch: [56/100], cls_loss: 0.8946, transfer_loss: 0.1564, kl_loss_src: 3589.7215, kl_loss_tar: 3388.1072, total_Loss: 0.9727, acc: 0.7590
Epoch: [57/100], cls_loss: 0.9118, transfer_loss: 0.1537, kl_loss_src: 3602.1587, kl_loss_tar: 3393.4248, total_Loss: 0.9887, acc: 0.7811
Epoch: [58/100], cls_loss: 0.8884, transfer_loss: 0.1560, kl_loss_src: 3540.7799, kl_loss_tar: 3419.3423, total_Loss: 0.9664, acc: 0.7550
Epoch: [59/100], cls_loss: 0.8395, transfer_loss: 0.1552, kl_loss_src: 3544.8333, kl_loss_tar: 3433.6676, total_Loss: 0.9171, acc: 0.7570
Epoch: [60/100], cls_loss: 0.9034, transfer_loss: 0.1556, kl_loss_src: 3617.7398, kl_loss_tar: 3400.2074, total_Loss: 0.9812, acc: 0.7751
Epoch: [61/100], cls_loss: 0.7600, transfer_loss: 0.1541, kl_loss_src: 3589.1302, kl_loss_tar: 3419.8670, total_Loss: 0.8370, acc: 0.7510
Epoch: [62/100], cls_loss: 0.8619, transfer_loss: 0.1557, kl_loss_src: 3617.3475, kl_loss_tar: 3436.2297, total_Loss: 0.9398, acc: 0.7831
Epoch: [63/100], cls_loss: 0.7516, transfer_loss: 0.1549, kl_loss_src: 3555.5304, kl_loss_tar: 3438.6800, total_Loss: 0.8290, acc: 0.7711
Epoch: [64/100], cls_loss: 0.7613, transfer_loss: 0.1533, kl_loss_src: 3618.9148, kl_loss_tar: 3410.8779, total_Loss: 0.8380, acc: 0.7771
Epoch: [65/100], cls_loss: 0.7480, transfer_loss: 0.1533, kl_loss_src: 3564.1480, kl_loss_tar: 3490.0037, total_Loss: 0.8247, acc: 0.7851
Epoch: [66/100], cls_loss: 0.7624, transfer_loss: 0.1524, kl_loss_src: 3504.3228, kl_loss_tar: 3455.0367, total_Loss: 0.8386, acc: 0.7731
Epoch: [67/100], cls_loss: 0.7409, transfer_loss: 0.1521, kl_loss_src: 3587.4088, kl_loss_tar: 3484.2370, total_Loss: 0.8169, acc: 0.7771
Epoch: [68/100], cls_loss: 0.6548, transfer_loss: 0.1522, kl_loss_src: 3588.6276, kl_loss_tar: 3508.6445, total_Loss: 0.7309, acc: 0.7831
Epoch: [69/100], cls_loss: 0.7057, transfer_loss: 0.1525, kl_loss_src: 3616.0554, kl_loss_tar: 3509.6422, total_Loss: 0.7820, acc: 0.7871
Epoch: [70/100], cls_loss: 0.6491, transfer_loss: 0.1496, kl_loss_src: 3671.8193, kl_loss_tar: 3455.7785, total_Loss: 0.7239, acc: 0.7831
Epoch: [71/100], cls_loss: 0.6984, transfer_loss: 0.1478, kl_loss_src: 3670.2772, kl_loss_tar: 3535.0837, total_Loss: 0.7723, acc: 0.7631
Epoch: [72/100], cls_loss: 0.7092, transfer_loss: 0.1488, kl_loss_src: 3689.6136, kl_loss_tar: 3593.8210, total_Loss: 0.7836, acc: 0.7912
Epoch: [73/100], cls_loss: 0.6631, transfer_loss: 0.1478, kl_loss_src: 3674.7205, kl_loss_tar: 3516.9474, total_Loss: 0.7370, acc: 0.8032
