Epoch: [36/100], cls_loss: 0.8479, transfer_loss: 0.1650, kl_loss_src: 3593.4231, kl_loss_tar: 3413.3592, total_Loss: 0.9304, acc: 0.9056
Epoch: [37/100], cls_loss: 0.8075, transfer_loss: 0.1632, kl_loss_src: 3553.2031, kl_loss_tar: 3408.0623, total_Loss: 0.8891, acc: 0.9137
Epoch: [38/100], cls_loss: 0.8018, transfer_loss: 0.1654, kl_loss_src: 3545.6615, kl_loss_tar: 3398.2393, total_Loss: 0.8844, acc: 0.9116
Epoch: [39/100], cls_loss: 0.7657, transfer_loss: 0.1623, kl_loss_src: 3529.6477, kl_loss_tar: 3420.5070, total_Loss: 0.8469, acc: 0.9157
Epoch: [40/100], cls_loss: 0.7440, transfer_loss: 0.1625, kl_loss_src: 3524.4172, kl_loss_tar: 3416.1071, total_Loss: 0.8252, acc: 0.9157
Epoch: [41/100], cls_loss: 0.7216, transfer_loss: 0.1636, kl_loss_src: 3539.7174, kl_loss_tar: 3400.4304, total_Loss: 0.8034, acc: 0.9157
Epoch: [42/100], cls_loss: 0.6832, transfer_loss: 0.1622, kl_loss_src: 3534.0171, kl_loss_tar: 3413.8265, total_Loss: 0.7643, acc: 0.9197
Epoch: [43/100], cls_loss: 0.6833, transfer_loss: 0.1626, kl_loss_src: 3563.3701, kl_loss_tar: 3354.4281, total_Loss: 0.7646, acc: 0.9177
Epoch: [44/100], cls_loss: 0.5891, transfer_loss: 0.1631, kl_loss_src: 3510.3387, kl_loss_tar: 3386.2090, total_Loss: 0.6706, acc: 0.9237
Epoch: [45/100], cls_loss: 0.6527, transfer_loss: 0.1649, kl_loss_src: 3494.2676, kl_loss_tar: 3346.7660, total_Loss: 0.7351, acc: 0.9217
Epoch: [46/100], cls_loss: 0.5801, transfer_loss: 0.1644, kl_loss_src: 3524.1796, kl_loss_tar: 3368.9067, total_Loss: 0.6624, acc: 0.9317
Epoch: [47/100], cls_loss: 0.5533, transfer_loss: 0.1647, kl_loss_src: 3511.8411, kl_loss_tar: 3370.7294, total_Loss: 0.6356, acc: 0.9277
Epoch: [48/100], cls_loss: 0.5761, transfer_loss: 0.1634, kl_loss_src: 3512.4534, kl_loss_tar: 3366.6096, total_Loss: 0.6578, acc: 0.9237
Epoch: [49/100], cls_loss: 0.5422, transfer_loss: 0.1633, kl_loss_src: 3542.7270, kl_loss_tar: 3399.2024, total_Loss: 0.6238, acc: 0.9357
Epoch: [50/100], cls_loss: 0.5128, transfer_loss: 0.1640, kl_loss_src: 3513.6398, kl_loss_tar: 3369.9137, total_Loss: 0.5948, acc: 0.9398
Epoch: [51/100], cls_loss: 0.4816, transfer_loss: 0.1619, kl_loss_src: 3522.5488, kl_loss_tar: 3355.7283, total_Loss: 0.5626, acc: 0.9478
Epoch: [52/100], cls_loss: 0.5041, transfer_loss: 0.1620, kl_loss_src: 3502.4278, kl_loss_tar: 3339.9062, total_Loss: 0.5851, acc: 0.9277
Epoch: [53/100], cls_loss: 0.4578, transfer_loss: 0.1600, kl_loss_src: 3512.8785, kl_loss_tar: 3335.2235, total_Loss: 0.5378, acc: 0.9438
Epoch: [54/100], cls_loss: 0.4433, transfer_loss: 0.1613, kl_loss_src: 3490.2241, kl_loss_tar: 3339.9367, total_Loss: 0.5239, acc: 0.9518
Epoch: [55/100], cls_loss: 0.4770, transfer_loss: 0.1623, kl_loss_src: 3510.7663, kl_loss_tar: 3363.0717, total_Loss: 0.5582, acc: 0.9498
Epoch: [56/100], cls_loss: 0.4191, transfer_loss: 0.1634, kl_loss_src: 3468.0031, kl_loss_tar: 3350.1510, total_Loss: 0.5008, acc: 0.9498
Epoch: [57/100], cls_loss: 0.4756, transfer_loss: 0.1614, kl_loss_src: 3510.5380, kl_loss_tar: 3332.5209, total_Loss: 0.5563, acc: 0.9438
Epoch: [58/100], cls_loss: 0.4152, transfer_loss: 0.1616, kl_loss_src: 3522.5635, kl_loss_tar: 3364.9362, total_Loss: 0.4960, acc: 0.9418
Epoch: [59/100], cls_loss: 0.3569, transfer_loss: 0.1611, kl_loss_src: 3519.9021, kl_loss_tar: 3323.6867, total_Loss: 0.4374, acc: 0.9458
Epoch: [60/100], cls_loss: 0.3908, transfer_loss: 0.1616, kl_loss_src: 3464.8487, kl_loss_tar: 3331.5006, total_Loss: 0.4716, acc: 0.9538
Epoch: [61/100], cls_loss: 0.3911, transfer_loss: 0.1615, kl_loss_src: 3529.3171, kl_loss_tar: 3350.2726, total_Loss: 0.4719, acc: 0.9478
Epoch: [62/100], cls_loss: 0.3709, transfer_loss: 0.1606, kl_loss_src: 3484.9739, kl_loss_tar: 3292.8061, total_Loss: 0.4512, acc: 0.9538
